onset,offset,species,individual,clustername,filename,channelIndex
0.0,0.121815945,Unknown,Unknown,U,audio.wav,0
0.178038688,0.271743261,Unknown,Unknown,U,audio.wav,0
0.290484176,0.393559206,Unknown,Unknown,U,audio.wav,0
0.440411492,0.599709266,Unknown,Unknown,A,audio.wav,0
0.599709266,0.862082069,Unknown,Unknown,B,audio.wav,0
0.880822984,1.077602587,Unknown,Unknown,C,audio.wav,0
1.143195788,1.311864019,Unknown,Unknown,A,audio.wav,0
1.302493561,1.564866365,Unknown,Unknown,B,audio.wav,0
1.864720998,1.967796028,Unknown,Unknown,U,audio.wav,0
2.005277857,2.117723344,Unknown,Unknown,U,audio.wav,0
2.436318892,2.548764379,Unknown,Unknown,U,audio.wav,0
2.698691696,2.773655354,Unknown,Unknown,U,audio.wav,0
2.839248555,2.989175871,Unknown,Unknown,A,audio.wav,0
2.998546328,3.223437303,Unknown,Unknown,B,audio.wav,0
3.23280776,3.43895782,Unknown,Unknown,C,audio.wav,0
3.495180564,3.663848795,Unknown,Unknown,A,audio.wav,0
3.68258971,3.926221599,Unknown,Unknown,B,audio.wav,0
4.029296629,4.254187603,Unknown,Unknown,C,audio.wav,0
4.329151262,4.441596749,Unknown,Unknown,U,audio.wav,0
4.479078578,4.647746809,Unknown,Unknown,A,audio.wav,0
4.629005895,4.891378698,Unknown,Unknown,B,audio.wav,0
4.928860527,5.116269673,Unknown,Unknown,C,audio.wav,0
5.715978939,5.828424426,Unknown,Unknown,U,audio.wav,0
5.865906255,5.9877222,Unknown,Unknown,U,audio.wav,0
6.015833571,6.221983632,Unknown,Unknown,A,audio.wav,0
6.212613174,6.50309735,Unknown,Unknown,B,audio.wav,0
8.39592972,8.517745664,Unknown,Unknown,U,audio.wav,0
8.752007096,8.864452583,Unknown,Unknown,U,audio.wav,0
8.91130487,8.986268528,Unknown,Unknown,U,audio.wav,0
9.070602644,9.248641332,Unknown,Unknown,A,audio.wav,0
9.248641332,9.501643678,Unknown,Unknown,B,audio.wav,0
9.520384593,9.726534653,Unknown,Unknown,C,audio.wav,0
9.764016482,9.951425628,Unknown,Unknown,C,audio.wav,0
10.00764837,10.21379843,Unknown,Unknown,A,audio.wav,0
10.19505752,10.47617124,Unknown,Unknown,B,audio.wav,0
10.71980312,10.89784181,Unknown,Unknown,A,audio.wav,0
10.88847136,11.15084416,Unknown,Unknown,B,audio.wav,0
11.18832599,11.39447605,Unknown,Unknown,C,audio.wav,0
11.44132833,11.62873748,Unknown,Unknown,A,audio.wav,0
11.61936702,11.88173983,Unknown,Unknown,B,audio.wav,0
11.94733303,12.172224,Unknown,Unknown,C,audio.wav,0
12.57515366,12.69696961,Unknown,Unknown,U,audio.wav,0
12.73445144,12.91249013,Unknown,Unknown,A,audio.wav,0
12.91249013,13.17486293,Unknown,Unknown,B,audio.wav,0
13.28730842,13.60590397,Unknown,Unknown,A,audio.wav,0
13.75583128,13.84953585,Unknown,Unknown,U,audio.wav,0
13.86827677,14.07442683,Unknown,Unknown,A,audio.wav,0
14.06505637,14.33679963,Unknown,Unknown,B,audio.wav,0
14.33679963,14.54294969,Unknown,Unknown,C,audio.wav,0
14.59917244,14.8053225,Unknown,Unknown,C,audio.wav,0
16.753197278911564,16.816077472911566,Unknown,Unknown,U,audio.wav,0
16.839657544911564,16.933977835911563,Unknown,Unknown,U,audio.wav,0
16.957557908911564,17.138338465911563,Unknown,Unknown,A,audio.wav,0
17.138338465911563,17.381999216911563,Unknown,Unknown,B,audio.wav,0
17.405579289911564,17.609939918911564,Unknown,Unknown,C,audio.wav,0
17.633519991911562,17.806440524911565,Unknown,Unknown,A,audio.wav,0
17.822160573911564,18.057961299911565,Unknown,Unknown,B,audio.wav,0
18.136561542911565,18.301622050911565,Unknown,Unknown,A,audio.wav,0
18.325202123911563,18.576722898911566,Unknown,Unknown,B,audio.wav,0
18.671043189911565,18.851823746911563,Unknown,Unknown,C,audio.wav,0
18.875403819911565,19.056184376911563,Unknown,Unknown,C,audio.wav,0
19.095484497911563,19.284125078911565,Unknown,Unknown,A,audio.wav,0
19.284125078911565,19.535645854911564,Unknown,Unknown,B,audio.wav,0
19.614246096911565,19.795026653911563,Unknown,Unknown,A,audio.wav,0
19.818606726911565,20.046547428911566,Unknown,Unknown,B,audio.wav,0
20.140867719911565,20.337368324911566,Unknown,Unknown,A,audio.wav,0
20.337368324911566,20.581029075911566,Unknown,Unknown,B,audio.wav,0
20.620329197911566,20.808969778911564,Unknown,Unknown,C,audio.wav,0
20.887570020911564,21.076210602911566,Unknown,Unknown,A,audio.wav,0
21.076210602911566,21.312011328911563,Unknown,Unknown,B,audio.wav,0
21.382751546911564,21.516371958911563,Unknown,Unknown,C,audio.wav,0
21.547812055911564,21.736452636911565,Unknown,Unknown,C,audio.wav,0
21.767892733911566,21.972253363911562,Unknown,Unknown,A,audio.wav,0
21.987973412911565,22.223774138911566,Unknown,Unknown,B,audio.wav,0
23.717178741911564,23.787918959911565,Unknown,Unknown,U,audio.wav,0
23.937259419911562,24.015859662911566,Unknown,Unknown,U,audio.wav,0
24.039439734911564,24.141620049911566,Unknown,Unknown,U,audio.wav,0
24.196640219911565,24.353840703911565,Unknown,Unknown,A,audio.wav,0
24.345980679911563,24.581781406911563,Unknown,Unknown,B,audio.wav,0
24.644661600911565,24.833302181911563,Unknown,Unknown,C,audio.wav,0
24.864742278911564,25.021942762911564,Unknown,Unknown,A,audio.wav,0
25.037662811911567,25.273463538911564,Unknown,Unknown,B,audio.wav,0
25.304903634911565,25.50140424091156,Unknown,Unknown,C,audio.wav,0
